config,example_id,precision@1,recall@1,ndcg@1,hit_rate@1,precision@3,recall@3,ndcg@3,hit_rate@3,precision@5,recall@5,ndcg@5,hit_rate@5,mrr,faithfulness,answer_relevance,context_utilization
baseline,q32,1.000000,0.500000,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.071484,0.074074
baseline,q33,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.197359,0.083333
baseline,q34,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.154503,0.071429
baseline,q35,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.346849,0.071429
baseline,q36,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.064430,0.107143
baseline,q37,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.198207,0.083333
baseline,q38,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100578,0.074074
baseline,q39,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.222809,0.074074
baseline,q40,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.216584,0.086957
large_chunks,q01,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.305627,0.074074
large_chunks,q02,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.156377,0.055556
large_chunks,q03,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.148494,0.044444
large_chunks,q04,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.098813,0.057143
large_chunks,q05,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.297855,0.035714
large_chunks,q06,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.172049,0.050000
large_chunks,q07,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.325300,0.037037
large_chunks,q08,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.032816,0.043478
large_chunks,q09,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.220864,0.054054
large_chunks,q10,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.061126,0.043478
large_chunks,q11,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.361728,0.045455
large_chunks,q12,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.049729,0.054054
large_chunks,q13,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.257602,0.054054
large_chunks,q14,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.055042,0.051282
large_chunks,q15,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.211220,0.051282
large_chunks,q16,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.092748,0.041667
large_chunks,q17,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.137155,0.066667
large_chunks,q18,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.090547,0.076923
large_chunks,q19,1.000000,0.500000,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.046442,0.051282
large_chunks,q20,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.186494,0.034483
large_chunks,q21,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.114910,0.033898
large_chunks,q22,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.216517,0.035088
large_chunks,q23,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.150906,0.050000
large_chunks,q24,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.365900,0.044444
large_chunks,q25,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.098487,0.043478
large_chunks,q26,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.387238,0.071429
large_chunks,q27,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.278350,0.036364
large_chunks,q28,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.328377,0.043478
large_chunks,q29,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.135263,0.210526
large_chunks,q30,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.330850,0.055556
large_chunks,q31,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.181642,0.055556
large_chunks,q32,1.000000,0.500000,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.095364,0.044444
large_chunks,q33,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.291551,0.054054
large_chunks,q34,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.142237,0.044444
large_chunks,q35,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.128545,0.043478
large_chunks,q36,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.102251,0.043478
large_chunks,q37,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.283625,0.042553
large_chunks,q38,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.074440,0.042553
large_chunks,q39,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.181861,0.055556
large_chunks,q40,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.120543,0.111111
low_dim,q01,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.233340,0.083333
low_dim,q02,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.147705,0.076923
low_dim,q03,0.000000,0.000000,0.000000,0.000000,0.333333,1.000000,0.630930,1.000000,0.200000,1.000000,0.630930,1.000000,0.500000,1.000000,0.064995,0.076923
low_dim,q04,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.083333
low_dim,q05,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.302075,0.103448
low_dim,q06,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.052822,0.103448
low_dim,q07,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.302734,0.076923
low_dim,q08,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.033163,0.120000
low_dim,q09,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.207660,0.074074
low_dim,q10,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.048703,0.076923
low_dim,q11,0.000000,0.000000,0.000000,0.000000,0.333333,1.000000,0.630930,1.000000,0.200000,1.000000,0.630930,1.000000,0.500000,1.000000,0.360219,0.064516
low_dim,q12,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.120000
low_dim,q13,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.110797,0.074074
low_dim,q14,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.085535,0.074074
low_dim,q15,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.088493,0.080000
low_dim,q16,0.000000,0.000000,0.000000,0.000000,0.333333,1.000000,0.630930,1.000000,0.200000,1.000000,0.630930,1.000000,0.500000,1.000000,0.050326,0.120000
low_dim,q17,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100452,0.080000
low_dim,q18,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.051976,0.080000
low_dim,q19,1.000000,0.500000,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.085237,0.120000
low_dim,q20,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100807,0.120000
low_dim,q21,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.071429
low_dim,q22,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.210346,0.074074
low_dim,q23,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.082577,0.125000
low_dim,q24,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.346115,0.083333
low_dim,q25,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.061171,0.074074
low_dim,q26,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.242916,0.076923
low_dim,q27,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.034086,0.130435
low_dim,q28,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.044818,0.120000
low_dim,q29,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.074074
low_dim,q30,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.130677,0.074074
low_dim,q31,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.196521,0.074074
low_dim,q32,1.000000,0.500000,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,0.031912,0.083333
low_dim,q33,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.066687,0.083333
low_dim,q34,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.129999,0.074074
low_dim,q35,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.359330,0.111111
low_dim,q36,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100055,0.074074
low_dim,q37,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.218711,0.076923
low_dim,q38,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.130928,0.080000
low_dim,q39,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.115385
low_dim,q40,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.143525,0.080000
